N,T,p,d,runtime_h_us,runtime_g_us,mean_error_h,max_error_h,mean_error_g,max_error_g,mean_error_h_g, converged_h, converged_g
110000,6,5,2,5869,1619947,0.00477581,0.00982241,0.00942375,0.0142855,0.00466454,1,1
115000,6,5,2,5961,1657915,0.00621469,0.0112776,0.0108741,0.0157423,0.00468005,1,1
120000,6,5,2,6519,1829537,0.00698012,0.0124408,0.0106552,0.0168833,0.00467408,1,1
125000,6,5,2,6792,1886549,0.00611432,0.0098149,0.00954479,0.0162793,0.00465097,1,1
130000,6,5,2,6901,1903472,0.00605109,0.00926193,0.00962835,0.0145072,0.0046555,1,1
135000,6,5,2,6821,2043414,0.00577404,0.00798618,0.0092848,0.0155567,0.00465929,1,1
140000,6,5,2,7478,2026694,0.00571117,0.00913846,0.00888518,0.0166953,0.00464818,1,1
145000,6,5,2,7184,2248206,0.00642739,0.0100732,0.00971576,0.0176695,0.00466301,1,1
150000,6,5,2,7944,1925073,0.00562978,0.00931398,0.0093335,0.0168863,0.00465242,1,1
5000,7,5,2,370,114623,0.0484567,0.076137,0.050007,0.0836515,0.00483435,1,1
10000,7,5,2,766,208018,0.0467164,0.0805404,0.0499565,0.0886974,0.00488107,1,1
15000,7,5,2,837,288088,0.0376773,0.0651621,0.0408878,0.0731754,0.00489752,1,1
20000,7,5,2,1141,267007,0.0370874,0.061595,0.0403699,0.0692607,0.00496222,1,1
25000,7,5,2,1374,328914,0.0355543,0.0554283,0.0387969,0.0630027,0.00495913,1,1
30000,7,5,2,1555,529373,0.0272195,0.0446325,0.0305186,0.0526482,0.00491223,1,1
35000,7,5,2,1790,646585,0.0204415,0.0386523,0.0237408,0.0466141,0.00482558,1,1
40000,7,5,2,2186,510133,0.0181042,0.0302269,0.0229035,0.0378465,0.00479929,1,1
45000,7,5,2,2187,827094,0.0176748,0.0289576,0.021304,0.036897,0.00481843,1,1
50000,7,5,2,2238,912307,0.0161622,0.0304205,0.0193686,0.0347392,0.00475865,1,1
55000,7,5,2,2907,899827,0.0118778,0.0243109,0.01614,0.028728,0.00474941,1,1
60000,7,5,2,3044,1100041,0.00960121,0.0228227,0.0140666,0.0287782,0.00471475,1,1
65000,7,5,2,3318,1005579,0.00890926,0.0207992,0.0124463,0.0284067,0.00468418,1,1
70000,7,5,2,3561,862275,0.00896007,0.022271,0.0134354,0.0299033,0.00470888,1,1
75000,7,5,2,3811,1322744,0.00856073,0.0207086,0.01328,0.0283941,0.00471927,1,1
80000,7,5,2,4061,1457531,0.00725454,0.0153131,0.0119689,0.0229804,0.00471436,1,1
85000,7,5,2,4441,1353938,0.00650415,0.0173052,0.0112214,0.0217838,0.00471726,1,1
90000,7,5,2,4512,1434487,0.00842846,0.0155583,0.0131384,0.0201984,0.00470999,1,1
95000,7,5,2,4509,1722304,0.00831132,0.0121531,0.0129819,0.0195903,0.0046861,1,1
100000,7,5,2,4891,1782557,0.00537093,0.00912465,0.0100282,0.0136302,0.00467003,1,1
105000,7,5,2,5620,1292305,0.00478279,0.00895361,0.0094501,0.0141161,0.00468286,1,1
110000,7,5,2,5514,1988814,0.00477581,0.00982241,0.00942375,0.0142855,0.00466454,1,1
115000,7,5,2,5778,2011847,0.00621469,0.0112776,0.0108741,0.0157423,0.00468005,1,1
120000,7,5,2,5508,2086941,0.00698012,0.0124408,0.0106552,0.0168833,0.00467408,1,1
125000,7,5,2,5728,2221325,0.00611432,0.0098149,0.00954479,0.0162793,0.00465097,1,1
130000,7,5,2,6152,2046404,0.00605109,0.00926193,0.00962835,0.0145072,0.0046555,1,1
135000,7,5,2,7071,1981541,0.00577404,0.00798618,0.0092848,0.0155567,0.00465929,1,1
140000,7,5,2,6919,2051154,0.00571117,0.00913846,0.00888518,0.0166953,0.00464818,1,1
145000,7,5,2,7221,1760456,0.00642739,0.0100732,0.00971576,0.0176695,0.00466301,1,1
150000,7,5,2,7399,2658386,0.00562978,0.00931398,0.0093335,0.0168863,0.00465242,1,1
5000,8,5,2,608,105840,0.0484567,0.076137,0.050007,0.0836515,0.00483435,1,1
10000,8,5,2,555,165701,0.0467164,0.0805404,0.0499565,0.0886974,0.00488107,1,1
15000,8,5,2,935,194271,0.0376773,0.0651621,0.0408878,0.0731754,0.00489752,1,1
20000,8,5,2,1218,243400,0.0370874,0.061595,0.0403699,0.0692607,0.00496222,1,1
25000,8,5,2,1451,298686,0.0355543,0.0554283,0.0387969,0.0630027,0.00495913,1,1
30000,8,5,2,1530,432146,0.0272195,0.0446325,0.0305186,0.0526482,0.00491223,1,1
35000,8,5,2,2006,404503,0.0204415,0.0386523,0.0237408,0.0466141,0.00482558,1,1
